,v,vw,o,c,h,l,t,n
0,183,54.5591,54.464,54.577,54.616,54.464,1681084800000,183
1,431,54.5877,54.576,54.618,54.641,54.39,1681099200000,431
2,538,54.6423,54.616,54.663,54.687,54.471,1681113600000,538
3,498,54.6885,54.643,54.754,54.787,54.39,1681128000000,498
4,124,54.7292,54.764,54.69,54.777,54.666,1681142400000,124
5,17,54.6901,54.703,54.738,54.754,54.673,1681156800000,17
6,769,54.6996,54.695,54.692,54.758,54.55,1681171200000,769
7,705,54.8196,54.693,54.886,55.003,54.56,1681185600000,705
8,1345,54.9249,54.884,54.994,55.046,54.717,1681200000000,1345
9,1453,55.0255,54.991,55.057,55.074,54.72,1681214400000,1453
10,512,55.0491,55.064,55.029,55.075,54.959,1681228800000,512
11,29,55.023,55.027,55.0,55.045,54.947,1681243200000,29
12,550,55.0732,54.985,55.05,55.14,54.875,1681257600000,550
13,819,55.2068,55.051,55.226,55.341,54.925,1681272000000,819
14,1329,55.2136,55.212,55.202,55.288,55.025,1681286400000,1329
15,1548,55.1165,55.206,55.16,55.234,54.841,1681300800000,1548
16,229,55.1291,55.123,55.175,55.181,55.045,1681315200000,229
17,10,55.1492,55.163,55.16,55.163,55.128,1681329600000,10
18,911,55.2473,55.147,55.205,55.379,55.0,1681344000000,911
19,1028,55.312,55.207,55.281,55.435,55.105,1681358400000,1028
20,666,55.3255,55.277,55.305,55.375,55.122,1681372800000,666
21,1551,55.2937,55.344,55.252,55.388,55.16,1681387200000,1551
22,280,55.2169,55.258,55.166,55.266,55.142,1681401600000,280
23,16,55.1866,55.162,55.213,55.23,55.155,1681416000000,16
24,828,55.1488,55.205,55.16,55.259,54.97,1681430400000,828
25,568,55.2557,55.162,55.237,55.333,55.045,1681444800000,568
26,803,55.2837,55.234,55.273,55.338,55.13,1681459200000,803
27,1054,55.285,55.279,55.379,55.381,55.071,1681473600000,1054
28,274,55.3282,55.343,55.243,55.381,55.243,1681488000000,274
29,12,55.299,55.294,55.338,55.338,55.278,1681502400000,12
30,1,55.249,55.249,55.249,55.249,55.249,1681560000000,1
31,2,55.294,55.249,55.339,55.339,55.249,1681675200000,2
32,667,55.53,55.249,55.561,55.66,55.249,1681689600000,667
33,1326,55.7014,55.56,55.904,55.958,55.55,1681704000000,1326
34,1264,55.9209,55.902,55.945,55.977,54.663,1681718400000,1264
35,1693,55.9777,55.933,56.023,56.06,55.826,1681732800000,1693
36,340,56.0115,56.024,55.97,56.056,55.954,1681747200000,340
37,28,55.9529,55.969,56.03,56.03,55.83,1681761600000,28
38,891,55.9994,56.01,56.02,56.095,55.86,1681776000000,891
39,980,56.1939,56.019,56.146,56.316,55.96,1681790400000,980
40,1431,56.1855,56.144,56.267,56.275,55.732,1681804800000,1431
41,1111,56.2182,56.269,56.2,56.289,56.04,1681819200000,1111
42,371,56.2054,56.206,56.216,56.231,56.06,1681833600000,371
43,27,56.1867,56.185,56.24,56.24,56.06,1681848000000,27
44,511,56.0476,56.225,56.03,56.225,55.865,1681862400000,511
45,1034,56.0928,56.028,56.196,56.203,55.874,1681876800000,1034
46,2111,56.3631,56.19,56.45,56.511,56.063,1681891200000,2111
47,1418,56.3814,56.45,56.3,56.497,56.19,1681905600000,1418
48,303,56.2662,56.287,56.233,56.31,56.172,1681920000000,303
49,22,56.2454,56.235,56.295,56.31,56.218,1681934400000,22
50,379,56.3224,56.303,56.328,56.411,56.2,1681948800000,379
51,1029,56.2227,56.323,56.027,56.366,55.9,1681963200000,1029
52,1578,56.1125,56.03,56.107,56.176,55.92,1681977600000,1578
53,1653,55.9004,56.101,55.886,56.18,55.741,1681992000000,1653
54,215,55.867,55.85,55.88,55.917,55.67,1682006400000,215
55,8,55.8794,55.885,55.93,55.93,55.795,1682020800000,8
56,878,55.9224,55.915,55.933,56.004,55.83,1682035200000,878
57,276,55.9546,55.933,55.941,56.028,55.91,1682049600000,276
