,v,vw,o,c,h,l,t,n
0,1,55.388,55.388,55.388,55.388,55.388,1704067200000,1
1,1,55.388,55.388,55.388,55.388,55.388,1704139200000,1
2,533,55.5054,55.405,55.573,55.586,55.242,1704153600000,533
3,473,55.5836,55.58,55.672,55.685,55.445,1704168000000,473
4,942,55.6157,55.679,55.618,55.683,55.505,1704182400000,942
5,662,55.6114,55.619,55.592,55.662,55.48,1704196800000,662
6,155,55.5755,55.589,55.583,55.6,55.48,1704211200000,155
7,52,55.5663,55.588,55.563,55.6,55.48,1704225600000,52
8,504,55.7318,55.564,55.681,55.805,55.55,1704240000000,504
9,798,55.6446,55.679,55.583,55.739,55.48,1704254400000,798
10,1012,55.6643,55.558,55.751,55.825,54.92,1704268800000,1012
11,684,55.7647,55.754,55.802,55.845,55.593,1704283200000,684
12,547,55.7301,55.815,55.738,55.838,55.6,1704297600000,547
13,184,55.7401,55.739,55.673,55.775,55.63,1704312000000,184
14,639,55.6488,55.653,55.568,55.75,55.495,1704326400000,639
15,1134,55.5318,55.569,55.525,55.615,55.365,1704340800000,1134
16,723,55.4923,55.522,55.536,55.565,53.779,1704355200000,723
17,410,55.5717,55.531,55.592,55.615,55.44,1704369600000,410
18,138,55.5721,55.589,55.574,55.589,55.475,1704384000000,138
19,80,55.5543,55.572,55.523,55.6,55.52,1704398400000,80
20,668,55.5575,55.511,55.682,55.682,55.39,1704412800000,668
21,996,55.6888,55.679,55.592,55.764,55.505,1704427200000,996
22,554,55.4992,55.592,55.52,55.592,53.856,1704441600000,554
23,1510,55.4676,55.515,55.41,55.613,55.245,1704456000000,1510
24,377,55.4444,55.418,55.488,55.615,55.31,1704470400000,377
25,252,55.3867,55.484,55.442,55.61,55.087,1704484800000,252
26,1,55.494,55.494,55.494,55.494,55.494,1704657600000,1
27,508,55.5236,55.615,55.61,55.615,55.452,1704672000000,508
28,572,55.606,55.611,55.688,55.696,55.485,1704686400000,572
29,569,55.648,55.694,55.704,55.727,54.28,1704700800000,569
30,666,55.7416,55.708,55.794,55.794,55.605,1704715200000,666
31,311,55.7935,55.793,55.695,55.839,55.66,1704729600000,311
32,136,55.7495,55.773,55.648,55.791,55.51,1704744000000,136
33,827,55.6936,55.65,55.81,55.815,55.457,1704758400000,827
34,1403,55.9359,55.799,55.915,56.07,55.755,1704772800000,1403
35,811,56.0258,55.998,56.077,56.106,55.279,1704787200000,811
36,698,56.0736,56.081,56.142,56.147,55.945,1704801600000,698
37,190,56.1116,56.144,56.127,56.151,56.0,1704816000000,190
38,45,56.1106,56.126,56.099,56.132,56.0,1704830400000,45
39,874,56.2312,56.087,56.267,56.3,55.94,1704844800000,874
40,1040,56.3102,56.273,56.256,56.395,56.165,1704859200000,1040
41,510,56.2294,56.257,49.758,56.308,49.758,1704873600000,510
42,746,56.1513,56.169,56.087,56.2,56.02,1704888000000,746
43,211,56.1125,56.088,56.126,56.14,56.02,1704902400000,211
44,81,56.1086,56.121,56.031,56.27,56.005,1704916800000,81
45,682,56.1414,56.041,56.137,56.27,56.021,1704931200000,682
46,768,56.0575,56.143,55.97,56.143,55.88,1704945600000,768
47,538,56.0229,55.974,56.005,56.074,55.618,1704960000000,538
48,1434,55.9658,56.005,56.057,56.099,55.393,1704974400000,1434
49,384,56.0358,56.056,55.916,56.106,55.9,1704988800000,384
50,173,55.9582,55.918,55.945,56.004,55.847,1705003200000,173
51,696,55.9868,55.941,56.038,56.064,55.845,1705017600000,696
52,727,55.8968,56.044,55.904,56.052,54.341,1705032000000,727
53,975,55.8444,55.9,55.835,55.969,54.268,1705046400000,975
54,850,55.7535,55.836,55.739,56.09,55.62,1705060800000,850
55,163,55.7735,55.645,55.798,55.92,55.645,1705075200000,163
56,206,55.8158,55.809,55.765,55.862,55.705,1705089600000,206
57,1,55.782,55.782,55.782,55.782,55.782,1705262400000,1
58,438,55.8627,55.915,55.905,55.915,55.815,1705276800000,438
59,529,55.8458,55.905,55.773,55.942,55.457,1705291200000,529
60,649,55.7674,55.772,55.813,55.85,53.908,1705305600000,649
61,647,55.7945,55.812,55.737,55.848,55.66,1705320000000,647
